"id","alimento","energía (Kcal)","proteinas","grasa total","carbohidratos"
98,"Quinua, harina",341,4.4,1.0,78.7
99,"Rabanito, raiz, fresco, crudo",29,1.3,0.1,5.8
100,"Radicheta, hoja, fresco, cruda",0,2.2,0.0,0.0
101,"Remolacha, tubérculo, fresca, cruda",54,2.4,0.0,11.1
102,"Remolacha, tubérculo, hervida",36,1.0,0.0,7.9
103,"Repollito Bruselas, hoja, fresco, crudo ",58,4.4,0.5,8.9
104,"Repollo blanco, hoja, fresco, crudo",17,2.4,0.0,1.9
105,"Repollo blanco, hoja, hervido",16,2.2,0.0,1.8
106,"Salsifí, raiz, fresco, crudo",85,3.5,1.0,15.5
107,"Soja, semilla madura, seca, cruda",356,34.6,24.2,0.0
108,"Tapioca, cruda (harina mandioca)",336,2.0,0.0,82.0
109,"Tapioca, hervida",55,0.1,0.0,13.7
110,"Tomate, fresco, crudo",20,1.0,0.0,4.1
111,"Tomate, hervido",21,1.0,0.0,4.2
112,"Tomate, jugo, fresco",11,1.0,0.0,1.7
113,"Verdolaga, hoja y tallo, fresca, cruda",23,1.6,0.4,3.3
114,"Zanahoria, raiz, pelada, fresca",0,1.1,0.0,12.0
115,"Zanahoria, raiz, pelada, hervida",0,0.0,0.0,0.0
116,"Zanahoria, jugo, fresco",22,1.0,0.0,4.4
117,"Zapallito, parte tierna, fresco, crudo",13,0.8,0.0,2.4
118,"Zapallito, parte tierna, hervido ",16,1.3,0.0,2.8
119,"Aceituna verde, pulpa, encurtida",144,1.5,13.5,4.0
120,"Ananá, pulpa, fresco",58,0.4,0.2,13.7
121,"Ananá enlatado, contenido envase",87,0.4,0.1,21.1
122,"Banana, pulpa, fresca",99,1.2,0.2,23.0
123,"Cereza, pulpa, fresca",68,1.1,0.5,14.8
124,"Ciruela, pulpa, fresca",56,0.7,0.2,12.9
125,"Ciruela, pasa, cruda",255,1.9,0.1,61.6
126,"Ciruela, pasa, hervida",165,1.0,0.1,40.1
127,"Coco, pulpa, fresco, crudo",382,3.4,34.7,14.0
128,"Damasco, pulpa, fresco, crudo",57,1.0,0.1,12.9
129,"Durazno, pulpa, fresco, crudo",51,0.5,0.1,12.0
130,"Durazno, pulpa, envasado al natural",75,0.4,0.1,18.2
131,"Durazno orejón, pulpa y piel, hervido",40,2.5,0.0,7.5
132,"Frutilla pulpa, fresca, cruda",41,0.8,0.6,8.1
133,"Granada, pulpa, fresca",75,0.6,0.2,17.7
134,"Higo, pulpa, fresca",88,1.4,0.4,19.6
135,"Kaki, pulpa, fresco",87,0.8,0.4,20.0
136,"Kinoto, pulpa y cáscara, fresco, crudo",73,0.9,0.1,17.1
137,"Limón, pulpa, fresco",44,0.9,0.6,8.7
138,"Manzana, pulpa, fresca, cruda",64,0.3,0.4,14.9
139,"Manzana, hervida",26,0.5,0.0,6.0
140,"Melón, pulpa, fresco",28,0.6,0.2,5.9
141,"Membrillo, pulpa, fresco, crudo",58,0.3,0.1,13.9
142,"Mora, fresca",69,1.2,0.6,14.6
143,"Palta, pulpa, fresca",258,1.7,26.4,3.3
144,"Pera, pulpa, fresca, cruda",70,0.7,0.4,15.8
145,"Pera, orejón, crudo",299,2.3,0.4,71.6
146,"Pomelo, pulpa, fresco",26,0.5,0.0,5.9
147,"Sandía, pulpa, fresca, cruda",31,0.5,0.2,6.9
148,"Aceite comestible mezcla Lira, 85% girasol, 15% oliva",900,100.0,0.0,0.0
149,"Aceite comestible mezcla Patito, 94% girasol, 6% maiz",900,100.0,0.0,0.0
150,Aceite de canola,900,100.0,0.0,0.0
151,Aceite de girasol Familiar,900,100.0,0.0,0.0
152,Aceite de girasol Ideal,900,100.0,0.0,0.0
153,Aceite de girasol Natura,900,100.0,0.0,0.0
154,Aceite de maiz Arcor,900,100.0,0.0,0.0
155,Aceite de maiz Cocinero,900,100.0,0.0,0.0
156,Aceite de maiz Mazzola,900,100.0,0.0,0.0
157,Aceite de oliva Cocinero,900,100.0,0.0,0.0
158,Aceite de uva Cocinero,900,100.0,0.0,0.0
159,Grasa de cerdo,898,99.8,0.0,0.0
160,Grasa Vacuna,899,99.9,0.0,0.0
161,Margarina 100% vegetal Manty (en pote y en pan),747,83.0,0.0,0.0
162,Margarina 100% vegetal Delicia,747,83.0,0.0,0.0
163,Margarina reducida en calorias Manty liviana,504,56.0,0.0,0.0
164,"Abadejo, fresco, crudo, carne",72,15.8,0.9,0.2
165,"Anchoa, fresca, cruda, carne",92,21.5,0.4,0.5
166,"Anchoita, fresca, cruda, carne",129,19.2,5.4,0.8
